Sale Date,Cust ID,Itinerary ID,Itinerary #,EMP NO,Agent,Booking_id,Booking #,Product Category,Product Supplier ID,Supplier Office Location,Trip Start,Trip End,Class,# travellers,Product ID,Product,product_Description,Destination,Dest ID,Credit Card,Expiry Date,Card Number,Billing Date,Bill Description,Base Price (excl. taxes),"Total Price (incl. taxes, excl. fees)",Billed Amt. (incl. fees),Agency Fee Code,Agency Fee Amount,Agency Commission
3/4/2008,241,985,1125,,BS,985,6541117T,303,22,1,6/5/2008,23/05/2008,INT,2,985,Cruise,East coast + air, ,AFR,VISA,25/11/2011,8.99E+13,3/4/2008,DEPOSIT,8365,8962,2240.5,NC,0,250.95
3/4/2008,241,986,1125,,DR,986,6541117T,303,22,1,6/5/2008,23/05/2008,INT,2,986,Cruise,East coast + air, ,AFR,VISA,25/11/2011,8.99E+13,29/04/2008,FINAL PAYMENT,8365,8962,6721.5,NC,0,250.95
7/4/2008,133,1001,846,,BD,1001,53165616,303,22,1,22/05/2008,29/05/2008,INT,2,1001,Cruise,Alaska, ,NA,VISA,19/01/2010,9.05E+14,20/04/2008,DEPOSIT,2531,2862,715.5,NC,0,75.93
7/4/2008,133,1002,846,,BD,1002,53165616,303,22,1,22/05/2008,29/05/2008,INT,2,1002,Cruise,Alaska, ,NA,VISA,19/01/2010,9.05E+14,5/5/2008,FINAL PAYMENT,2531,2862,2146.5,NC,0,75.93
24/04/2008,233,1092,822,,JL,1092,TR474656D,303,22,1,8/6/2008,14/06/2008,DLX,1,1092,Cruise,Italy - Greece, ,MED,AMEX,6/4/2011,3.89E+13,24/04/2008,DEPOSIT,5423,5963,1490.75,NC,0,162.69
24/04/2008,233,1093,822,,BD,1093,TR474656D,303,22,1,8/6/2008,14/06/2008,DLX,1,1093,Cruise,Italy - Greece, ,MED,AMEX,6/4/2011,3.89E+13,9/5/2008,FINAL PAYMENT,5423,5963,4472.25,NC,0,162.69
1/5/2008,282,1133,1025,,JM,1133,46757TRTH,303,22,1,30/05/2008,14/06/2008,INT,4,1133,Cruise,Alaska - inside passage, ,NA,AMEX,25/11/2012,4.34E+13,1/5/2008,DEPOSIT,3652,3965,991.25,NC,0,109.56
1/5/2008,282,1134,1025,,BS,1134,46757TRTH,303,22,1,30/05/2008,14/06/2008,INT,4,1134,Cruise,Alaska - inside passage, ,NA,AMEX,25/11/2012,4.34E+13,10/5/2008,FINAL PAYMENT,3652,3965,2973.75,NC,0,109.56
22/07/2008,160,1217,461,,BS,1217,98980C,303,22,1,5/9/2008,13/09/2008,INT,4,1217,Cruise,Eastern Caribbean, ,NA,Diners,1/10/2010,3.89E+13,7/7/2008,DEPOSIT,2436,2783,695.75,NC,0,73.08
22/07/2008,160,1218,461,,BS,1218,98980C,303,22,1,5/9/2008,13/09/2008,INT,4,1218,Cruise,Eastern Caribbean, ,NA,Diners,1/10/2010,3.89E+13,16/08/2008,FINAL PAYMENT,2436,2783,2087.25,NC,0,73.08
30/03/2008,394,965,807,,JM,965,A23594260,400,35,1,9/5/2008,6/6/2008, ,2,965,Motor coach,NZ tour by bus,NZ,ANZ,VISA,1/6/2010,9.99E+14,30/03/2008,DEPOSIT,3700,3959,643.85,RS,50,18.5
30/03/2008,394,966,807,,JM,966,A23594260,400,35,1,9/5/2008,6/6/2008, ,2,966,Motor coach,NZ tour by bus,NZ,ANZ,VISA,1/6/2010,9.99E+14,29/04/2008,FINAL PAYMENT,3700,3959,3365.15,RS,0,18.5
22/03/2008,190,926,768,,JM,926,54653476R,400,40,1,5/5/2008,2/6/2008, ,2,926,Motor coach,"Madrid, Paris,Lyon,Milan,Torino,Rom",Europe,EU,VISA,5/9/2010,2.55E+14,22/03/2008,FINAL PAYMENT,5400,5778,5828,BK,50,27
23/03/2008,190,932,1098,,BD,932,54653476R,400,40,1,5/5/2008,2/6/2008, ,2,932,Motor coach,"Madrid, Paris,Lyon,Milan,Torino,Rom",Europe,EU,VISA,1/9/2010,2.55E+14,23/03/2008,DEPOSIT,5400,5778,1205.6,BK,50,27
23/03/2008,190,933,1098,,BD,933,54653476R,400,40,1,5/5/2008,2/6/2008, ,2,933,Motor coach,"Madrid, Paris,Lyon,Milan,Torino,Rom",Europe,EU,VISA,1/9/2010,2.55E+14,14/04/2008,FINAL PAYMENT,5400,5778,4622.4,BK,0,27
7/9/2007,140,409,492,,BD,409,FD53767,250,43,1,22/10/2007,3/11/2007, ,2,409,Car rental,Medium size car,Greece,MED,AMEX,22/08/2010,3.45E+13,20/09/2007, ,500,545,0,NC,0,15.5
8/2/2008,253,818,690,,,818,A653867,250,43,1,15/03/2008,5/4/2008, ,2,818,Car rental,intermediate car,Italy,EU,AMEX,22/08/2010,6.79E+13,8/2/2008, ,700,763,0,NC,0,21.7
24/03/2008,223,936,876,,,936,4766848,100,44,1,8/5/2008,5/6/2008,FST,2,936,Air,Calgary-Guadalajara flight,Mexic,NA,AMEX,1/7/2010,4.39E+15,24/03/2008,FULL PAYMENT,1700,2091,2141,BK,50,20
3/8/2007,285,345,448,,BS,345,SKL870,301,45,1,17/09/2007,6/10/2007,INT,1,345,Cruise,Melbourne-Brisbane-Perth,Australia,ANZ,VISA,5/1/2011,7.42E+15,3/8/2007,DEPOSIT,1000,1070,292.5,BK,25,30
3/8/2007,285,346,448,,JL,346,SKL870,301,45,1,17/09/2007,6/10/2007,INT,1,346,Cruise,Melbourne-Brisbane-Perth,Australia,ANZ,VISA,5/1/2011,7.42E+15,1/9/2007,FINAL PAYMENT,1000,1070,802.5,BK,0,30
11/8/2007,389,360,815,,JM,360,SDF678,302,45,1,25/09/2007,1/10/2007,INT,1,360,Cruise,Sydney- Auckland,Australia+NZ,ANZ,MC,1/3/2011,8.74E+15,11/8/2007,DEPOSIT,1450,1525,406.25,NC,25,43.5
11/8/2007,389,361,815,,BD,361,SDF678,302,45,1,25/09/2007,1/10/2007,INT,1,361,Cruise,Sydney- Auckland,Australia+NZ,ANZ,MC,1/3/2011,8.74E+15,1/9/2007,FINAL PAYMENT,1450,1525,1118.75,NC,0,43.5
1/2/2008,253,770,616,,JL,770,SRDGF345,100,45,1,15/03/2008,5/4/2008,ECN,2,770,Air,Calgary-Napoli-Calgary flight,Italy,EU,AMEX,22/08/2010,6.79E+13,1/2/2008,FULL PAYMENT,2300,2829,2879,BK,50,20
2/3/2008,399,875,669,,,875,246567FB,100,45,1,19/03/2008,2/4/2008,FST,1,875,Air,Calgary/Toronto/Calgary,"Toronto, Canada",NA,Diners,22/08/2010,8.98E+13,3/3/2008,FULL PAYMENT,630,774.9,774.9,NC,0,31.5
30/03/2009,133,46,141,,JM,46,SKJ329,250,57,1,14/05/2009,7/6/2009, ,2,46,Car rental,midsize car,Toronto,NA,AMEX,19/01/2010,9.05E+14,30/03/2009, ,900,963,0,NC,0,29.25
4/10/2010,258,173,913,,DR,173,FDG54777,250,57,1,7/11/2007,26/11/2007, ,2,173,Car rental,intermediate car,Ecuador,SA,AMEX,8/3/2011,4.49E+13,4/10/2010, ,700,763,50,BK,50,21.7
5/10/2010,258,174,946,,DR,174,FDG54777,250,57,1,7/11/2007,26/11/2007, ,2,174,Car rental,intermediate car,Ecuador,SA,AMEX,8/3/2011,4.49E+13,5/10/2010, ,700,763,50,BK,50,21.7
6/10/2010,258,175,990,,BD,175,FDG54777,250,57,1,7/11/2007,26/11/2007, ,2,175,Car rental,intermediate car,Ecuador,SA,AMEX,8/3/2011,4.49E+13,6/10/2010, ,700,763,50,BK,50,21.7
7/10/2010,258,176,1053,,JL,176,FDG54777,250,57,1,7/11/2007,26/11/2007, ,2,176,Car rental,intermediate car,Ecuador,SA,AMEX,8/3/2011,4.49E+13,7/10/2010, ,700,763,50,BK,50,21.7
8/10/2010,258,177,1105,,BS,177,FDG54777,250,57,1,7/11/2007,26/11/2007, ,2,177,Car rental,intermediate car,Ecuador,SA,AMEX,8/3/2011,4.49E+13,8/10/2010, ,700,763,50,BK,50,21.7
17/01/2008,170,670,468,,JM,670,KJK890,350,61,1,1/3/2008,4/3/2008,DLX,1,670,Hotel,Best Western,"Sydney, Australia",ANZ,Diners,12/7/2010,2.23E+13,17/01/2008, ,1000,1070,25,BK,25,32.5
17/01/2008,204,672,567,,DR,672,BVGJ389,350,61,1,27/02/2008,1/3/2008,DLX,1,672,Hotel,Best Western,"Cape Town, South Africa",AFR,Diners,9/4/2010,2.34E+13,17/01/2008, ,1300,1391,25,BK,25,42.25
18/01/2008,206,678,475,,JM,678,K88,350,61,1,1/3/2008,4/3/2008,DLX,1,678,Hotel,Best Western,"Hong Kong, China",ASIA,Diners,3/2/2010,8.76E+13,18/01/2008, ,1500,1605,25,BK,25,48.75
24/01/2008,192,705,703,,JM,705,LL89788,350,61,1,1/3/2008,4/3/2008,SNG,,705,Hotel,Best Western,"Athens, Greece",MED,Diners,12/7/2010,4.75E+13,24/01/2008,FULL PAYMENT,900,1053,25,BK,25,4.5
20/03/2008,180,914,752,,DR,914,A243657,500,76,1,30/04/2008,16/05/2008, ,1,914,Tours,Tour of France,France,EU,MC,7/5/2010,7.89E+15,20/03/2008,DEPOSIT,2001,2140,239,BK,25,75
20/03/2008,180,915,752,,JL,915,A243657,500,76,1,30/04/2008,16/05/2008, ,1,915,Tours,Tour of France,France,EU,MC,7/5/2010,7.89E+15,5/4/2008,FINAL PAYMENT,2001,2140,1926,BK,0,75
25/07/2007,281,332,1029,,JM,332,6897647,500,77,1,15/09/2007,3/10/2007, ,1,332,Tours,Poland tour and air,Poland,EU,VISA,1/2/2011,1.65E+15,25/07/2007,DEPOSIT,1000,1050,892.5,BK,25,37.5
25/07/2007,281,333,1029,,BD,333,6897647,500,77,1,15/09/2007,3/10/2007, ,1,333,Tours,Poland tour and air,Poland,EU,VISA,1/2/2011,1.65E+15,20/08/2007,FINAL PAYMENT,1000,1050,182.5,BK,0,37.5
4/2/2010,157,74,753,,,74,MKI339,150,78,1,21/03/2010,7/4/2010,ECN,2,74,Air,Calgary/London/Calgary,"London, England",EU,MC,5/4/2010,3.44E+15,19/02/2010,FULL PAYMENT,945,1162.35,1212.35,BK,50,94.5
10/4/2010,190,113,319,,JC,113,XE3454,150,78,1,25/05/2010,9/6/2010,FST,2,113,Air,Calgary/Paris/Calgary,"Paris, France",EU,VISA,1/9/2010,2.55E+14,10/4/2010,FULL PAYMENT,850,1045.5,1095.5,BK,50,85
20/04/2010,385,121,308,,JC,121,MKI336,150,78,1,25/05/2010,21/06/2010,ECN,2,121,Air,Calgary/London/Calgary,"London, England",EU,VISA,6/12/2010,8.44E+15,20/04/2010,FULL PAYMENT,900,1107,1157,BK,50,90
1/5/2010,174,126,213,,DR,126,IK88,150,78,1,25/05/2010,10/6/2010,FST,2,126,Air,Calgary/Paris/Calgary,"Paris, France",EU,AMEX,12/12/2010,1.94E+14,10/5/2010,FULL PAYMENT,850,1045.5,1095.5,BK,50,85
6/5/2010,241,135,395,,JD,135,HJK777,150,78,1,20/07/2010,29/07/2010,FST,1,135,Air,Calgary/London/Calgary,"London, England",EU,VISA,25/11/2012,8.99E+13,5/6/2010,FULL PAYMENT,499,613.77,638.77,BK,25,49.9
1/10/2010,241,168,283,,JM,168,XCSD3,150,78,1,29/11/2010,12/12/2010,FST,1,168,Air,Calgary/London/Calgary,"London, England",EU,VISA,25/11/2012,8.99E+13,1/12/2010,FULL PAYMENT,13550,16666.5,16691.5,BK,25,1355
2/10/2010,375,171,656,,JL,171,243325DF,150,78,1,7/11/2007,26/11/2007,FST,1,171,Air,Calgary-Athens-Calgary,Greece,MED,AMEX,22/08/2010,9.00E+13,2/10/2010,FULL PAYMENT,1500,1845,1895,BK,50,150
29/03/2008,394,959,766,,,959,43546576,150,78,1,9/5/2008,6/6/2008,FST,2,959,Air,Calgary-Toronto-Auckland flight,NZ,ANZ,VISA,1/6/2010,9.99E+14,29/03/2008,FULL PAYMENT,2001,2460,2510,BK,50,200
16/12/2007,170,610,597,,JL,610,5463201,200,84,1,22/01/2008,14/02/2008, ,,610,Attractions,Calgary Stampede, ,NA,Diners,12/7/2010,2.23E+13,20/12/2007,FULL PAYMENT,150,160.5,160.5,NC,0,0
5/2/2010,368,78,307,,BD,78,CGADF676,150,85,1,20/03/2010,5/3/2010,FST,1,78,Air,Calgary/Paris/Calgary,"Paris, France",EU,VISA,1/2/2011,8.67E+15,10/2/2010,FULL PAYMENT,1250,1537.5,1562.5,BK,25,25
30/09/2007,302,469,795,,,469,CGFGS54,150,85,1,10/11/2007,29/11/2007,FST,2,469,Air,CALGARY-LOS ANGELES-CALGARY,USA,NA,Diners,22/08/2010,3.23E+13,30/09/2007,FULL PAYMENT,850,1045.5,1095.5,BK,50,25
1/12/2007,366,576,778,,BD,576,FSD32,150,85,1,15/01/2008,20/01/2008,FST,1,576,Air,Calgary/Toronto/Calgary,Toronto,NA,Diners,3/1/2011,9.54E+13,1/12/2007,FULL PAYMENT,750,922.5,947.5,BK,25,25
4/8/2007,309,352,951,,,352,4365ASD,150,89,1,18/09/2007,7/10/2007,FST,2,352,Air,Calgary/Halifax/Calgary,"Halifax,Canada",NA,AMEX,29/09/2011,8.93E+14,10/8/2007,FULL PAYMENT,850,1045.5,1095.5,BK,50,42.5
19/03/2008,174,911,767,,,911,4574CVB,150,89,1,25/04/2008,20/05/2008,FST,2,911,Air,"Calgary, Prague flight",Czech,EU,AMEX,12/12/2010,1.94E+14,19/03/2008,FULL PAYMENT,1450,1783.5,1833.5,BK,50,72.5
18/12/2007,369,621,891,,,621,246546GF,100,90,1,8/2/2008,18/02/2008,FST,2,621,Air,Calgary-Indianapolis-Calgary,USA,NA,Diners,1/12/2012,8.89E+13,18/12/2007,FULL PAYMENT,1200,1476,1526,BK,50,60
23/02/2008,236,835,1110,,BD,835,47687488,500,90,1,3/4/2008,28/04/2008, ,1,835,Tours,tour of Australia,Australia,ANZ,Diners,29/09/2011,5.45E+15,23/02/2008,DEPOSIT,3500,3675,392.5,BK,25,131.25
23/02/2008,236,836,1110,,DR,836,47687488,500,90,1,3/4/2008,28/04/2008, ,1,836,Tours,tour of Australia,Australia,ANZ,Diners,29/09/2011,5.45E+15,15/03/2008,FINAL PAYMENT,3500,3675,3307.5,BK,0,131.25
1/3/2008,181,861,817,,JM,861,2468527,350,98,1,18/03/2008,19/03/2008,FST,2,861,Hotel,Halifax 2 nights,Canada,NA,Diners,25/11/2012,5.99E+13,1/3/2008, ,200,234,50,BK,50,1
15/04/2008,158,1016,302,,BS,1016,3254354D,300,100,1,30/05/2008,24/06/2008,DLX,2,1016,Cruise,Caribbean sea -Brazil cruise,Brazil,SA,Diners,1/4/2011,7.85E+15,15/04/2008,DEPOSIT,5400,5778,1494.5,BK,50,162
16/04/2008,158,1020,302,,BS,1020,3254354D,300,100,1,30/05/2008,24/06/2008,DLX,2,1020,Cruise,Caribbean sea -Brazil cruise,Brazil,SA,Diners,1/4/2011,7.85E+15,16/04/2008,FINAL PAYMENT,5400,5778,4333.5,BK,0,162
31/03/2008,245,968,750,,,968,WERT657,100,104,1,14/05/2008,28/05/2008, ,2,968,Air,Calgary-Los Angeles flight,USA,EU,Diners,22/08/2010,7.89E+13,31/03/2008,FULL PAYMENT,1500,1845,1895,BK,50,75
22/03/2008,174,924,1097,,BD,924,65784764,400,106,1,25/04/2008,20/05/2008, ,2,924,Motor coach,"Prague,Vienna,Salzburg,Munich, Nure",Europe,EU,AMEX,12/12/2010,1.94E+14,22/03/2008,DEPOSIT,4600,4922,1034.4,BK,50,23
22/03/2008,174,925,1097,,BD,925,65784764,400,106,1,25/04/2008,20/05/2008, ,2,925,Motor coach,"Prague,Vienna,Salzburg,Munich, Nure",Europe,EU,AMEX,12/12/2010,1.94E+14,10/4/2008,FINAL PAYMENT,4600,4922,3937.6,BK,0,23
19/04/2008,357,1045,715,,JD,1045,324323S,400,106,1,30/05/2008,24/06/2008, ,,1045,Motor coach,Calgary-toronto-montreal tour,Canada,NA,VISA,12/12/2011,1.21E+13,19/04/2008,FULL PAYMENT,3780,4044.6,4094.6,BK,50,18.9
7/2/2008,299,816,713,,JD,816,56431,500,107,1,22/03/2008,16/04/2008, ,1,816,Tours,China Tour,China,ASIA,MC,28/04/2011,2.40E+15,7/2/2008,DEPOSIT,5300,5830,899.5,BK,25,198.75
7/2/2008,299,817,713,,JL,817,56431,500,107,1,22/03/2008,16/04/2008, ,1,817,Tours,China Tour,China,ASIA,MC,28/04/2011,2.40E+15,1/3/2008,FINAL PAYMENT,5300,5830,4955.5,BK,0,198.75
12/4/2008,386,1012,136,,DR,1012,5643659DF,500,113,1,27/05/2008,24/06/2008, ,2,1012,Tours,tour of Italy,italy,EU,AMEX,29/09/2011,3.85E+13,12/4/2008,DEPOSIT,4500,5040,604,BK,100,168.75
12/4/2008,386,1013,136,,DR,1013,5643659DF,500,113,1,27/05/2008,24/06/2008, ,2,1013,Tours,tour of Italy,italy,EU,AMEX,29/09/2011,3.85E+13,1/5/2008,FINAL PAYMENT,4500,5040,4536,BK,0,168.75
14/04/2008,328,1014,312,,JW,1014,5643660DF,500,113,1,27/05/2008,24/06/2008, ,2,1014,Tours,tour of Italy,Italy,EU,VISA,1/1/2011,4.39E+14,14/04/2008,DEPOSIT,4500,4815,822.25,GR,100,168.75
14/04/2008,328,1015,312,,JD,1015,5643660DF,500,113,1,27/05/2008,24/06/2008, ,2,1015,Tours,tour of Italy,Italy,EU,VISA,1/1/2011,4.39E+14,1/5/2008,FINAL PAYMENT,4500,4815,4092.75,GR,0,168.75
19/04/2008,328,1042,769,,JW,1042,5643660DF,500,113,1,27/05/2008,24/06/2008, ,1,1042,Tours,tour of Italy,Italy,EU,VISA,1/1/2011,4.39E+14,19/04/2008,DEPOSIT,4500,4815,822.25,GR,100,168.75
19/04/2008,328,1043,769,,DR,1043,5643660DF,500,113,1,27/05/2008,24/06/2008, ,1,1043,Tours,tour of Italy,Italy,EU,VISA,1/1/2011,4.39E+14,5/5/2008,FINAL PAYMENT,4500,4815,4092.75,GR,0,168.75
21/04/2008,145,1054,960,,JW,1054,5643658DF,500,113,1,27/05/2008,24/06/2008, ,,1054,Tours,tour of Italy,italy,EU,VISA,1/3/2011,6.87E+15,21/04/2008,DEPOSIT,4500,5040,604,BK,100,168.75
21/04/2008,145,1055,960,,JW,1055,5643658DF,500,113,1,27/05/2008,24/06/2008, ,,1055,Tours,tour of Italy,italy,EU,VISA,1/3/2011,6.87E+15,10/5/2008,FINAL PAYMENT,4500,5040,4536,BK,0,168.75
23/04/2008,328,1085,972,,JW,1085,5643660DF,500,113,1,27/05/2008,24/06/2008, ,2,1085,Tours,tour of Italy,Italy,EU,VISA,1/1/2011,4.39E+14,23/04/2008,DEPOSIT,4500,4815,581.5,GR,100,168.75
